CLASS,MFR,CAR LINE,DISPLACEMENT,NUMB CYL,TRANS,DRIVE SYS,CITY MPG,HWY MPG,COMB MPG
TWO SEATERS,ASTON MARTIN,V8 VANTAGE,4.3,8,Manual(M6),R,14,20,16
TWO SEATERS,ASTON MARTIN,V8 VANTAGE ASM,4.3,8,Auto(S6),R,15,21,17
TWO SEATERS,BMW,Z4 3.0I,3,6,Manual(M6),R,20,30,24
TWO SEATERS,BMW,Z4 3.0I,3,6,Auto(S6),R,21,30,24
TWO SEATERS,BMW,Z4 3.0SI,3,6,Manual(M6),R,20,30,24
TWO SEATERS,BMW,Z4 3.0SI,3,6,Auto(S6),R,21,30,24
TWO SEATERS,BMW,Z4 COUPE,3,6,Manual(M6),R,20,30,24
TWO SEATERS,BMW,Z4 COUPE,3,6,Auto(S6),R,21,30,24
TWO SEATERS,BMW,Z4 M COUPE,3.2,6,Manual(M6),R,16,24,19
TWO SEATERS,BMW,Z4 M ROADSTER,3.2,6,Manual(M6),R,16,24,19
TWO SEATERS,CADILLAC,XLR,4.4,8,Auto(S6),R,15,22,17
TWO SEATERS,CADILLAC,XLR,4.6,8,Auto(S6),R,17,27,20
TWO SEATERS,CHEVROLET,CORVETTE,6,8,Manual(M6),R,18,28,21
TWO SEATERS,CHEVROLET,CORVETTE,6,8,Auto(S6),R,17,27,21
TWO SEATERS,CHEVROLET,CORVETTE,7,8,Manual(M6),R,16,26,20
TWO SEATERS,CHRYSLER,CROSSFIRE COUPE,3.2,6,Auto(L5),R,21,28,24
TWO SEATERS,CHRYSLER,CROSSFIRE COUPE,3.2,6,Manual(M6),R,17,25,20
TWO SEATERS,CHRYSLER,CROSSFIRE ROADSTER,3.2,6,Auto(L5),R,21,28,24
TWO SEATERS,CHRYSLER,CROSSFIRE ROADSTER,3.2,6,Manual(M6),R,17,25,20
TWO SEATERS,FERRARI,F430,4.3,8,Auto(A6),R,12,17,14
TWO SEATERS,FERRARI,F430,4.3,8,Manual(M6),R,13,17,14
TWO SEATERS,FERRARI,FERRARI 599 GTB,5.9,12,Auto(A6),R,11,15,13
TWO SEATERS,FERRARI,FERRARI 599 GTB,5.9,12,Manual(M6),R,11,15,12
TWO SEATERS,HONDA,S2000,2.2,4,Manual(M6),R,20,26,22
TWO SEATERS,LAMBORGHINI,GALLARDO COUPE,5,10,Manual(M6),4,12,18,14
TWO SEATERS,LAMBORGHINI,GALLARDO COUPE,5,10,Auto(S6),4,12,18,14
TWO SEATERS,LAMBORGHINI,GALLARDO COUPE SL,5,10,Manual(M6),R,12,19,14
TWO SEATERS,LAMBORGHINI,GALLARDO COUPE SL,5,10,Auto(S6),R,12,20,15
TWO SEATERS,LAMBORGHINI,GALLARDO SPYDER,5,10,Manual(M6),4,11,17,13
TWO SEATERS,LAMBORGHINI,GALLARDO SPYDER,5,10,Auto(S6),4,11,17,13
TWO SEATERS,LAMBORGHINI,L-147/148 MURCIELAGO,6.5,12,Manual(M6),4,9,14,11
TWO SEATERS,LAMBORGHINI,L-147/148 MURCIELAGO,6.5,12,Auto(S6),4,10,16,12
TWO SEATERS,LOTUS,ELISE/EXIGE,1.8,4,Manual(M6),R,24,29,26
TWO SEATERS,LOTUS,ELISE/EXIGE,1.8,4,Manual(M6),R,23,29,25
TWO SEATERS,MAZDA,MX-5,2,4,Manual(M5),R,25,30,27
TWO SEATERS,MAZDA,MX-5,2,4,Manual(M6),R,24,30,27
TWO SEATERS,MAZDA,MX-5,2,4,Auto(S6),R,22,30,25
TWO SEATERS,MERCEDES-BENZ,SL55 AMG,5.4,8,Auto(S5),R,14,19,15
TWO SEATERS,MERCEDES-BENZ,SL550,5.5,8,Auto(L7),R,14,22,17
TWO SEATERS,MERCEDES-BENZ,SL600,5.5,12,Auto(L5),R,13,19,15
TWO SEATERS,MERCEDES-BENZ,SL65 AMG,6,12,Auto(S5),R,13,19,15
TWO SEATERS,MERCEDES-BENZ,SLK280,3,6,Auto(L7),R,20,27,22
TWO SEATERS,MERCEDES-BENZ,SLK280,3,6,Manual(M6),R,20,27,22
TWO SEATERS,MERCEDES-BENZ,SLK350,3.5,6,Auto(L7),R,19,25,21
TWO SEATERS,MERCEDES-BENZ,SLK350,3.5,6,Manual(M6),R,18,25,21
TWO SEATERS,MERCEDES-BENZ,SLK55 AMG,5.4,8,Auto(S7),R,16,22,18
TWO SEATERS,MERCEDES-BENZ,SLR,5.4,8,Auto(S5),R,13,17,14
TWO SEATERS,NISSAN,350Z,3.5,6,Manual(M6),R,20,27,23
TWO SEATERS,NISSAN,350Z,3.5,6,Auto(S5),R,19,26,22
TWO SEATERS,NISSAN,350Z ROADSTER,3.5,6,Manual(M6),R,19,26,22
TWO SEATERS,NISSAN,350Z ROADSTER,3.5,6,Auto(S5),R,19,25,21
TWO SEATERS,PONTIAC,SOLSTICE,2,4,Auto(L5),R,21,29,24
TWO SEATERS,PONTIAC,SOLSTICE,2,4,Manual(M5),R,22,31,25
TWO SEATERS,PONTIAC,SOLSTICE,2.4,4,Auto(L5),R,22,26,24
TWO SEATERS,PONTIAC,SOLSTICE,2.4,4,Manual(M5),R,20,28,23
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Auto(L5),R,21,28,24
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Manual(M5),R,23,32,26
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Manual(M6),R,22,31,25
TWO SEATERS,PORSCHE,BOXSTER S,3.4,6,Auto(L5),R,20,27,23
TWO SEATERS,PORSCHE,BOXSTER S,3.4,6,Manual(M6),R,20,28,23
TWO SEATERS,PORSCHE,CAYMAN,2.7,6,Auto(L5),R,21,28,24
TWO SEATERS,PORSCHE,CAYMAN,2.7,6,Manual(M5),R,23,32,26
TWO SEATERS,PORSCHE,CAYMAN,2.7,6,Manual(M6),R,22,31,25
TWO SEATERS,PORSCHE,CAYMAN S,3.4,6,Auto(L5),R,20,27,23
TWO SEATERS,PORSCHE,CAYMAN S,3.4,6,Manual(M6),R,20,28,23
TWO SEATERS,SATURN,SKY,2,4,Auto(L5),R,21,29,24
TWO SEATERS,SATURN,SKY,2,4,Manual(M5),R,22,31,25
TWO SEATERS,SATURN,SKY,2.4,4,Auto(L5),R,22,26,24
TWO SEATERS,SATURN,SKY,2.4,4,Manual(M5),R,20,28,23
TWO SEATERS,SPYKR,C8 DOUBLE 12 SPYDER,4.2,8,Manual(M6),R,14,20,16
TWO SEATERS,SPYKR,C8 SPYDER,4.2,8,Manual(M6),R,14,20,16
